numer_sta;date;pmer;tend;cod_tend;dd;vitesse_vent;temperature;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;;Nom;Latitude;Longitude;Altitude;Region;code_insee_region;conso_elec;consommation_brute_gaz_grtgaz;conso_gaz;consommation_brute_gaz_totale;consommation_brute_totale;date;heure;statut_grtgaz;statut_rte;statut_terega
07015;20130103180000;103620.0;150.0;1.0;270.0;5.7;283.15;282.35;95.0;15000.0;2.0;1.0;1.0;100.0;8.0;150.0;36.0;61.0;60.0;103040.0;nan;nan;nan;283.15;nan;284.75;nan;nan;nan;nan;nan;7.7;-10.0;nan;nan;0.0;-60.0;0.0;0.0;nan;0.0;nan;710.0;1108.0;3100.0;nan;8.0;7.0;150.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;7286.0;10352.0;nan;10352.0;17638.0;2013-03-01;18:00;Définitif;Définitif;nan
07005;20130103210000;103870.0;140.0;3.0;250.0;5.7;282.75;282.45;98.0;3900.0;10.0;nan;nan;nan;nan;nan;nan;nan;nan;102950.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;9.3;-10.0;nan;0.0;nan;nan;0.0;0.0;nan;nan;nan;710.0;1109.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;6811.0;9259.0;nan;9259.0;16070.0;2013-03-01;21:00;Définitif;Définitif;nan
07015;20130103210000;103710.0;90.0;2.0;270.0;5.7;282.95;282.35;96.0;10000.0;2.0;1.0;1.0;100.0;8.0;150.0;36.0;61.0;60.0;103130.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;8.7;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1109.0;3100.0;nan;8.0;7.0;120.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;6811.0;9259.0;nan;9259.0;16070.0;2013-03-01;21:00;Définitif;Définitif;nan
07005;20130104000000;103850.0;-20.0;8.0;250.0;5.7;282.65;282.55;99.0;2700.0;10.0;nan;nan;nan;nan;nan;nan;nan;nan;102930.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;8.7;-10.0;nan;0.0;nan;nan;0.0;0.2;0.2;nan;nan;710.0;1109.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;6610.0;7903.0;nan;7903.0;14513.0;2013-04-01;00:00;Définitif;Définitif;nan
07015;20130104000000;103790.0;80.0;1.0;280.0;4.1;283.05;282.25;95.0;15000.0;2.0;1.0;1.0;100.0;8.0;150.0;36.0;61.0;60.0;103210.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.7;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1108.0;3100.0;nan;8.0;7.0;180.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;6610.0;7903.0;nan;7903.0;14513.0;2013-04-01;00:00;Définitif;Définitif;nan
07005;20130104030000;103850.0;0.0;4.0;250.0;4.6;282.65;282.15;97.0;17000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;102930.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.2;-10.0;nan;nan;nan;nan;0.0;0.0;nan;nan;nan;710.0;1107.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;5826.0;8118.0;nan;8118.0;13944.0;2013-04-01;03:00;Définitif;Définitif;nan
07015;20130104030000;103750.0;-40.0;7.0;270.0;5.1;282.95;282.05;94.0;12000.0;0.0;nan;nan;100.0;8.0;250.0;36.0;61.0;60.0;103170.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;9.3;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1109.0;3100.0;nan;8.0;7.0;210.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;5826.0;8118.0;nan;8118.0;13944.0;2013-04-01;03:00;Définitif;Définitif;nan
07005;20130104060000;103830.0;-20.0;5.0;270.0;4.6;282.35;281.55;95.0;15000.0;2.0;1.0;1.0;100.0;8.0;150.0;36.0;61.0;60.0;102910.0;nan;nan;nan;282.35;nan;282.85;nan;282.15;nan;nan;nan;8.2;-10.0;2.0;0.0;nan;nan;0.0;0.0;nan;0.2;0.8;710.0;1108.0;nan;nan;2.0;7.0;150.0;7.0;7.0;240.0;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;5945.0;11354.0;nan;11354.0;17299.0;2013-04-01;06:00;Définitif;Définitif;nan
07015;20130104060000;103710.0;-40.0;5.0;280.0;4.1;283.15;282.05;93.0;20000.0;1.0;nan;nan;100.0;8.0;250.0;36.0;61.0;60.0;103130.0;nan;nan;nan;282.85;nan;283.15;nan;283.15;nan;nan;nan;5.7;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;nan;0.0;0.0;710.0;1106.0;3100.0;nan;7.0;7.0;270.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;5945.0;11354.0;nan;11354.0;17299.0;2013-04-01;06:00;Définitif;Définitif;nan
07005;20130104090000;103880.0;50.0;3.0;270.0;4.6;282.25;280.65;90.0;25000.0;2.0;1.0;1.0;100.0;8.0;450.0;35.0;61.0;60.0;102960.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;3100.0;nan;nan;nan;8.0;6.0;330.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;6874.0;10928.0;nan;10928.0;17802.0;2013-04-01;09:00;Définitif;Définitif;nan
07015;20130104090000;103810.0;90.0;1.0;270.0;4.6;282.55;281.35;92.0;14000.0;2.0;1.0;1.0;100.0;8.0;250.0;36.0;61.0;60.0;103220.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.7;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1107.0;3100.0;nan;8.0;7.0;240.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;6874.0;10928.0;nan;10928.0;17802.0;2013-04-01;09:00;Définitif;Définitif;nan
07005;20130104120000;103850.0;-30.0;8.0;280.0;6.2;282.65;280.25;85.0;25000.0;2.0;1.0;1.0;100.0;8.0;450.0;35.0;61.0;60.0;102930.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;9.3;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1109.0;3100.0;nan;8.0;6.0;360.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;7231.0;10880.0;nan;10880.0;18111.0;2013-04-01;12:00;Définitif;Définitif;nan
07015;20130104120000;103780.0;-30.0;8.0;270.0;4.6;281.95;280.55;91.0;20000.0;20.0;5.0;2.0;100.0;8.0;450.0;36.0;61.0;60.0;103190.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.7;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1107.0;3100.0;nan;8.0;7.0;300.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;7231.0;10880.0;nan;10880.0;18111.0;2013-04-01;12:00;Définitif;Définitif;nan
07005;20130104150000;103820.0;-30.0;6.0;270.0;4.6;282.25;279.85;85.0;20000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;102900.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;9.3;-10.0;nan;0.0;nan;nan;0.0;0.0;nan;nan;nan;710.0;1109.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;6941.0;10384.0;nan;10384.0;17325.0;2013-04-01;15:00;Définitif;Définitif;nan
07015;20130104150000;103770.0;-10.0;5.0;280.0;4.6;281.95;279.55;85.0;40000.0;2.0;1.0;1.0;100.0;8.0;450.0;35.0;61.0;60.0;103180.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;8.2;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1108.0;3100.0;nan;8.0;6.0;390.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;6941.0;10384.0;nan;10384.0;17325.0;2013-04-01;15:00;Définitif;Définitif;nan
07005;20130104180000;103790.0;-30.0;7.0;280.0;5.1;282.15;280.15;87.0;20000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;102870.0;nan;nan;nan;281.95;nan;282.75;nan;nan;nan;nan;nan;7.2;-10.0;nan;0.0;nan;nan;0.0;0.0;nan;0.0;nan;710.0;1107.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;7291.0;10497.0;nan;10497.0;17788.0;2013-04-01;18:00;Définitif;Définitif;nan
07015;20130104180000;103730.0;-40.0;7.0;270.0;2.6;281.45;278.75;83.0;30000.0;2.0;1.0;1.0;100.0;8.0;450.0;35.0;61.0;60.0;103140.0;nan;nan;nan;281.45;nan;283.15;nan;nan;nan;nan;nan;5.7;-10.0;nan;nan;0.0;-60.0;0.0;0.0;nan;0.0;nan;710.0;1106.0;3100.0;nan;8.0;6.0;510.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;7291.0;10497.0;nan;10497.0;17788.0;2013-04-01;18:00;Définitif;Définitif;nan
07005;20130104210000;103770.0;-20.0;8.0;260.0;4.1;281.65;280.55;93.0;15000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;102850.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.2;-10.0;nan;0.0;nan;nan;0.0;0.0;nan;nan;nan;710.0;1106.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;6766.0;9506.0;nan;9506.0;16272.0;2013-04-01;21:00;Définitif;Définitif;nan
07015;20130104210000;103710.0;-20.0;8.0;290.0;3.6;281.25;278.75;84.0;18000.0;2.0;1.0;1.0;100.0;8.0;450.0;35.0;61.0;60.0;103120.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.1;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1105.0;3100.0;nan;8.0;6.0;420.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;6766.0;9506.0;nan;9506.0;16272.0;2013-04-01;21:00;Définitif;Définitif;nan
07005;20130105000000;103710.0;-60.0;8.0;280.0;3.6;281.65;280.15;90.0;19000.0;0.0;nan;nan;nan;nan;nan;nan;nan;nan;102790.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.7;-10.0;nan;0.0;nan;nan;0.0;0.0;0.0;nan;nan;710.0;1107.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;6671.0;8226.0;nan;8226.0;14897.0;2013-05-01;00:00;Définitif;Définitif;nan
07015;20130105000000;103670.0;-40.0;7.0;300.0;4.1;280.85;278.45;85.0;12000.0;2.0;1.0;1.0;100.0;8.0;450.0;35.0;61.0;60.0;103080.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.7;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1107.0;3100.0;nan;8.0;6.0;390.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;6671.0;8226.0;nan;8226.0;14897.0;2013-05-01;00:00;Définitif;Définitif;nan
07005;20130105030000;103670.0;-40.0;8.0;270.0;5.7;281.55;281.15;97.0;4000.0;10.0;nan;nan;nan;nan;nan;nan;nan;nan;102750.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.7;-10.0;nan;0.0;nan;nan;0.0;0.0;nan;nan;nan;710.0;1108.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;5781.0;8111.0;nan;8111.0;13892.0;2013-05-01;03:00;Définitif;Définitif;nan
07015;20130105030000;103670.0;0.0;5.0;300.0;2.6;280.75;278.75;87.0;12000.0;0.0;nan;nan;100.0;8.0;450.0;35.0;61.0;60.0;103080.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.1;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1105.0;3100.0;nan;8.0;6.0;330.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;5781.0;8111.0;nan;8111.0;13892.0;2013-05-01;03:00;Définitif;Définitif;nan
07005;20130105060000;103700.0;30.0;3.0;280.0;3.6;281.05;280.65;97.0;3000.0;10.0;2.0;2.0;100.0;8.0;250.0;36.0;61.0;60.0;102780.0;nan;nan;nan;281.05;nan;282.05;nan;281.15;nan;nan;nan;7.2;-10.0;2.0;0.0;nan;nan;0.0;0.0;nan;0.0;0.0;710.0;1107.0;nan;nan;8.0;7.0;180.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;5451.0;10424.0;nan;10424.0;15875.0;2013-05-01;06:00;Définitif;Définitif;nan
07015;20130105060000;103610.0;-60.0;6.0;280.0;3.6;280.55;279.35;92.0;8000.0;3.0;nan;nan;100.0;8.0;250.0;36.0;61.0;60.0;103020.0;nan;nan;nan;280.55;nan;281.55;nan;280.15;nan;nan;nan;5.7;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;nan;0.0;0.0;710.0;1106.0;3100.0;nan;8.0;7.0;210.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;5451.0;10424.0;nan;10424.0;15875.0;2013-05-01;06:00;Définitif;Définitif;nan
07005;20130105090000;103700.0;0.0;0.0;270.0;4.6;281.85;281.55;98.0;4000.0;51.0;5.0;2.0;100.0;8.0;150.0;36.0;61.0;60.0;102780.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.7;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1107.0;3100.0;nan;8.0;7.0;150.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;6138.0;10712.0;nan;10712.0;16850.0;2013-05-01;09:00;Définitif;Définitif;nan
07015;20130105090000;103670.0;60.0;3.0;290.0;5.1;280.65;280.05;96.0;6000.0;2.0;1.0;1.0;100.0;8.0;150.0;36.0;61.0;60.0;103080.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.7;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1107.0;3100.0;nan;8.0;7.0;150.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;6138.0;10712.0;nan;10712.0;16850.0;2013-05-01;09:00;Définitif;Définitif;nan
07005;20130105120000;103670.0;-30.0;8.0;280.0;4.1;282.25;281.95;98.0;2500.0;51.0;5.0;2.0;100.0;8.0;150.0;37.0;61.0;60.0;102750.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.7;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1107.0;3100.0;nan;8.0;7.0;90.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;6650.0;10326.0;nan;10326.0;16976.0;2013-05-01;12:00;Définitif;Définitif;nan
07015;20130105120000;103620.0;-50.0;8.0;300.0;4.1;280.75;280.15;96.0;3000.0;10.0;2.0;2.0;100.0;8.0;80.0;36.0;61.0;60.0;103030.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.2;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1107.0;3100.0;nan;8.0;7.0;90.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;6650.0;10326.0;nan;10326.0;16976.0;2013-05-01;12:00;Définitif;Définitif;nan
07005;20130105150000;103600.0;-70.0;6.0;250.0;4.6;281.75;281.45;98.0;5000.0;51.0;5.0;5.0;100.0;8.0;150.0;37.0;61.0;60.0;102680.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.7;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1107.0;3100.0;nan;8.0;7.0;90.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;6339.0;9585.0;nan;9585.0;15924.0;2013-05-01;15:00;Définitif;Définitif;nan
07015;20130105150000;103530.0;-90.0;6.0;0.0;0.0;281.45;280.25;92.0;9000.0;2.0;1.0;1.0;100.0;8.0;450.0;35.0;61.0;60.0;102940.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;2.6;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1103.0;3100.0;nan;8.0;6.0;390.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;6339.0;9585.0;nan;9585.0;15924.0;2013-05-01;15:00;Définitif;Définitif;nan
07005;20130105180000;103550.0;-50.0;6.0;250.0;3.6;281.55;281.25;98.0;2500.0;10.0;nan;nan;nan;nan;nan;nan;nan;nan;102630.0;nan;nan;nan;281.05;nan;282.35;nan;nan;nan;nan;nan;6.2;-10.0;nan;0.0;nan;nan;0.2;0.2;nan;0.2;nan;710.0;1106.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;6626.0;9645.0;nan;9645.0;16271.0;2013-05-01;18:00;Définitif;Définitif;nan
07015;20130105180000;103440.0;-90.0;8.0;200.0;1.0;281.35;280.95;97.0;3000.0;10.0;5.0;2.0;100.0;8.0;150.0;36.0;61.0;60.0;102850.0;nan;nan;nan;280.55;nan;281.55;nan;nan;nan;nan;nan;1.5;-10.0;nan;nan;0.0;-60.0;0.0;0.0;nan;0.0;nan;710.0;1102.0;3100.0;nan;7.0;7.0;120.0;8.0;7.0;300.0;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;6626.0;9645.0;nan;9645.0;16271.0;2013-05-01;18:00;Définitif;Définitif;nan
07005;20130105210000;103600.0;50.0;1.0;260.0;5.1;281.65;281.35;98.0;3300.0;10.0;nan;nan;nan;nan;nan;nan;nan;nan;102680.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.7;-10.0;nan;0.0;nan;nan;0.0;0.0;nan;nan;nan;710.0;1108.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;6258.0;8774.0;nan;8774.0;15032.0;2013-05-01;21:00;Définitif;Définitif;nan
07015;20130105210000;103470.0;40.0;1.0;270.0;3.6;282.05;281.55;97.0;7000.0;2.0;1.0;1.0;100.0;8.0;150.0;35.0;61.0;60.0;102890.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;6.2;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1106.0;3100.0;nan;4.0;7.0;180.0;8.0;6.0;450.0;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;6258.0;8774.0;nan;8774.0;15032.0;2013-05-01;21:00;Définitif;Définitif;nan
07005;20130106000000;103520.0;-80.0;6.0;260.0;3.6;281.75;281.65;99.0;4800.0;10.0;nan;nan;nan;nan;nan;nan;nan;nan;102600.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;7.2;-10.0;nan;0.0;nan;nan;0.0;0.2;0.2;nan;nan;710.0;1107.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;6288.0;7518.0;nan;7518.0;13806.0;2013-06-01;00:00;Définitif;Définitif;nan
07015;20130106000000;103420.0;-50.0;8.0;280.0;2.6;282.15;281.25;94.0;10000.0;2.0;1.0;1.0;100.0;8.0;250.0;35.0;61.0;60.0;102840.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.1;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1105.0;3100.0;nan;7.0;7.0;240.0;8.0;7.0;390.0;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;6288.0;7518.0;nan;7518.0;13806.0;2013-06-01;00:00;Définitif;Définitif;nan
07005;20130106030000;103420.0;-100.0;7.0;260.0;3.1;281.55;281.45;99.0;2500.0;10.0;nan;nan;nan;nan;nan;nan;nan;nan;102500.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.7;-10.0;nan;0.0;nan;nan;0.0;0.0;nan;nan;nan;710.0;1106.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;5536.0;7763.0;nan;7763.0;13299.0;2013-06-01;03:00;Définitif;Définitif;nan
07015;20130106030000;103360.0;-70.0;7.0;240.0;1.5;279.85;279.25;96.0;100.0;45.0;nan;nan;101.0;nan;nan;62.0;61.0;60.0;102770.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;3.1;-10.0;nan;0.0;nan;nan;0.0;0.0;nan;nan;nan;710.0;1103.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;5536.0;7763.0;nan;7763.0;13299.0;2013-06-01;03:00;Définitif;Définitif;nan
07005;20130106060000;103410.0;-10.0;5.0;260.0;4.1;281.15;281.05;99.0;6000.0;2.0;1.0;1.0;100.0;8.0;250.0;36.0;61.0;60.0;102490.0;nan;nan;nan;281.15;nan;281.95;nan;281.15;nan;nan;nan;7.2;-10.0;2.0;0.0;nan;nan;0.0;0.0;nan;0.2;0.4;710.0;1107.0;nan;nan;8.0;7.0;180.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;5192.0;9996.0;nan;9996.0;15188.0;2013-06-01;06:00;Définitif;Définitif;nan
07015;20130106060000;103330.0;-30.0;5.0;260.0;2.1;278.35;278.05;98.0;1200.0;40.0;nan;nan;75.0;3.0;250.0;36.0;20.0;11.0;102740.0;nan;nan;nan;278.25;nan;282.25;nan;276.15;nan;nan;nan;3.6;-10.0;1.0;0.0;0.0;-60.0;0.0;0.0;nan;0.0;0.0;710.0;1104.0;3100.0;nan;3.0;7.0;270.0;5.0;0.0;7500.0;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;5192.0;9996.0;nan;9996.0;15188.0;2013-06-01;06:00;Définitif;Définitif;nan
07005;20130106090000;103430.0;20.0;3.0;260.0;2.6;281.35;281.05;98.0;8000.0;2.0;1.0;1.0;90.0;7.0;450.0;35.0;61.0;60.0;102510.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.1;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1105.0;3100.0;nan;7.0;6.0;300.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;5552.0;10470.0;nan;10470.0;16022.0;2013-06-01;09:00;Définitif;Définitif;nan
07015;20130106090000;103340.0;10.0;2.0;250.0;1.5;278.75;278.45;98.0;700.0;41.0;4.0;2.0;60.0;3.0;150.0;35.0;23.0;11.0;102750.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;3.1;-10.0;nan;nan;0.0;-30.0;0.0;0.0;nan;nan;nan;710.0;1103.0;3100.0;nan;2.0;7.0;150.0;3.0;0.0;7500.0;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;5552.0;10470.0;nan;10470.0;16022.0;2013-06-01;09:00;Définitif;Définitif;nan
07005;20130106120000;103370.0;-60.0;6.0;270.0;2.6;282.75;281.05;89.0;15000.0;2.0;1.0;1.0;100.0;8.0;450.0;35.0;61.0;60.0;102450.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;4.6;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1105.0;3100.0;nan;8.0;6.0;300.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;;ABBEVILLE;50.136;1.834;69.0;Hauts-de-France;32;6254.0;9741.0;nan;9741.0;15995.0;2013-06-01;12:00;Définitif;Définitif;nan
07015;20130106120000;103300.0;-30.0;8.0;290.0;3.6;281.75;281.45;98.0;10000.0;3.0;4.0;2.0;100.0;7.0;250.0;35.0;61.0;60.0;102720.0;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;5.1;-10.0;nan;nan;0.0;-60.0;0.0;0.0;0.0;nan;nan;710.0;1105.0;3100.0;nan;3.0;7.0;270.0;7.0;6.0;750.0;nan;nan;nan;nan;nan;nan;;LILLE-LESQUIN;50.57;3.0975;47.0;Hauts-de-France;32;6254.0;9741.0;nan;9741.0;15995.0;2013-06-01;12:00;Définitif;Définitif;nan
